verse,start_ms,end_ms,transliteration,notes
22,830230,831510,yāvadetānnirikṣe.ahaṃ yoddhukāmānavasthitān . kairmayā saha yoddhavyamasmin raṇasamudyame ||1-22||,suggested; review before export
23,835270,837630,yotsyamānānavekṣe.ahaṃ ya ete.atra samāgatāḥ . dhārtarāṣṭrasya durbuddheryuddhe priyacikīrṣavaḥ ||1-23||,suggested; review before export
24,838420,861110,sañjaya uvāca . evamukto hṛṣīkeśo guḍākeśena bhārata . senayorubhayormadhye sthāpayitvā rathottamam ||1-24||,suggested; review before export
25,861780,866890,bhīṣmadroṇapramukhataḥ sarveṣāṃ ca mahīkṣitām . uvāca pārtha paśyaitānsamavetānkurūniti ||1-25||,suggested; review before export
26,868040,897140,tatrāpaśyatsthitānpārthaḥ pitṝnatha pitāmahān . ācāryānmātulānbhrātṛnputrānpautrānsakhīṃstathā ||1-26||,suggested; review before export
27,897650,936580,śvaśurānsuhṛdaścaiva senayorubhayorapi . tānsamīkṣya sa kaunteyaḥ sarvānbandhūnavasthitān ||1-27||,suggested; review before export
28,937140,938020,kṛpayā parayāviṣṭo viṣīdannidamabravīt . arjuna uvāca . dṛṣṭvemaṃ svajanaṃ kṛṣṇa yuyutsuṃ samupasthitam ||1-28||,suggested; review before export
29,938690,939970,sīdanti mama gātrāṇi mukhaṃ ca pariśuṣyati . vepathuśca śarīre me romaharṣaśca jāyate ||1-29||,suggested; review before export
30,940630,942880,gāṇḍīvaṃ sraṃsate hastāttvakcaiva paridahyate . na ca śaknomyavasthātuṃ bhramatīva ca me manaḥ ||1-30||,suggested; review before export
31,943470,947280,nimittāni ca paśyāmi viparītāni keśava . na ca śreyo.anupaśyāmi hatvā svajanamāhave ||1-31||,suggested; review before export
32,947650,1108970,na kāṅkṣe vijayaṃ kṛṣṇa na ca rājyaṃ sukhāni ca . kiṃ no rājyena govinda kiṃ bhogairjīvitena vā ||1-32||,suggested; review before export
33,1109910,1112580,yeṣāmarthe kāṅkṣitaṃ no rājyaṃ bhogāḥ sukhāni ca . ta ime.avasthitā yuddhe prāṇāṃstyaktvā dhanāni ca ||1-33||,suggested; review before export
34,1112790,1115370,ācāryāḥ pitaraḥ putrāstathaiva ca pitāmahāḥ . mātulāḥ śvaśurāḥ pautrāḥ śyālāḥ sambandhinastathā ||1-34||,suggested; review before export
35,1115780,1120690,etānna hantumicchāmi ghnato.api madhusūdana . api trailokyarājyasya hetoḥ kiṃ nu mahīkṛte ||1-35||,suggested; review before export
36,1121000,1122530,nihatya dhārtarāṣṭrānnaḥ kā prītiḥ syājjanārdana . pāpamevāśrayedasmānhatvaitānātatāyinaḥ ||1-36||,suggested; review before export
37,1122890,1127450,tasmānnārhā vayaṃ hantuṃ dhārtarāṣṭrānsvabāndhavān . svajanaṃ hi kathaṃ hatvā sukhinaḥ syāma mādhava ||1-37||,suggested; review before export
38,1127770,1133190,yadyapyete na paśyanti lobhopahatacetasaḥ . kulakṣayakṛtaṃ doṣaṃ mitradrohe ca pātakam ||1-38||,suggested; review before export
39,1133740,1153950,kathaṃ na jñeyamasmābhiḥ pāpādasmānnivartitum . kulakṣayakṛtaṃ doṣaṃ prapaśyadbhirjanārdana ||1-39||,suggested; review before export
40,1154300,1178090,kulakṣaye praṇaśyanti kuladharmāḥ sanātanāḥ . dharme naṣṭe kulaṃ kṛtsnamadharmo.abhibhavatyuta ||1-40||,suggested; review before export
41,1178480,1216950,adharmābhibhavātkṛṣṇa praduṣyanti kulastriyaḥ . strīṣu duṣṭāsu vārṣṇeya jāyate varṇasaṅkaraḥ ||1-41||,suggested; review before export
42,1217500,1626680,saṅkaro narakāyaiva kulaghnānāṃ kulasya ca . patanti pitaro hyeṣāṃ luptapiṇḍodakakriyāḥ ||1-42||,suggested; review before export
43,1627070,1628740,doṣairetaiḥ kulaghnānāṃ varṇasaṅkarakārakaiḥ . utsādyante jātidharmāḥ kuladharmāśca śāśvatāḥ ||1-43||,suggested; review before export
44,1631680,1632590,utsannakuladharmāṇāṃ manuṣyāṇāṃ janārdana . narake niyataṃ vāso bhavatītyanuśuśruma ||1-44||,suggested; review before export
45,1636240,1639110,aho bata mahatpāpaṃ kartuṃ vyavasitā vayam . yadrājyasukhalobhena hantuṃ svajanamudyatāḥ ||1-45||,suggested; review before export
46,1639360,1673530,yadi māmapratīkāramaśastraṃ śastrapāṇayaḥ . dhārtarāṣṭrā raṇe hanyustanme kṣemataraṃ bhavet ||1-46||,suggested; review before export
47,1674880,1698350,sañjaya uvāca . evamuktvārjunaḥ saṅkhye rathopastha upāviśat . visṛjya saśaraṃ cāpaṃ śokasaṃvignamānasaḥ ||1-47||,suggested; review before export
