verse,start_ms,end_ms,status,notes
31,791500,818900,keep,"vocal energy strong; voiced_ratio=0.55, voice_over_low=3.90dB"
32,820200,821800,skipped,too short for verse vocal clip (1600ms < 5000ms)
33,823800,824500,skipped,too short for verse vocal clip (700ms < 5000ms)
34,827400,828100,skipped,too short for verse vocal clip (700ms < 5000ms)
35,835500,837200,skipped,too short for verse vocal clip (1700ms < 5000ms)
36,838400,856700,keep,"vocal energy strong; voiced_ratio=0.49, voice_over_low=9.92dB"
37,858200,860500,skipped,too short for verse vocal clip (2300ms < 5000ms)
38,861800,862800,skipped,too short for verse vocal clip (1000ms < 5000ms)
39,870100,889600,keep,"vocal energy strong; voiced_ratio=0.49, voice_over_low=10.34dB"
40,891500,894500,skipped,too short for verse vocal clip (3000ms < 5000ms)
41,897700,923700,keep,"vocal energy strong; voiced_ratio=0.49, voice_over_low=11.86dB"
42,924800,932100,keep,"vocal energy strong; voiced_ratio=0.51, voice_over_low=10.78dB"
43,947600,1003300,review,"uncertain vocal/music mix; voiced_ratio=0.44, voice_over_low=6.36dB"
44,1005000,1010700,skipped,"likely music-only; voiced_ratio=0.14, voice_over_low=7.04dB"
45,1015100,1038400,keep,"vocal energy strong; voiced_ratio=0.52, voice_over_low=3.71dB"
46,1040700,1041400,skipped,too short for verse vocal clip (700ms < 5000ms)
47,1043400,1071000,review,"uncertain vocal/music mix; voiced_ratio=0.36, voice_over_low=4.09dB"
48,1073300,1106000,review,"uncertain vocal/music mix; voiced_ratio=0.45, voice_over_low=5.03dB"
49,1109900,1112400,skipped,too short for verse vocal clip (2500ms < 5000ms)
50,1115800,1116500,skipped,too short for verse vocal clip (700ms < 5000ms)
51,1122900,1177200,review,"uncertain vocal/music mix; voiced_ratio=0.44, voice_over_low=10.22dB"
52,1178500,1192100,review,"uncertain vocal/music mix; voiced_ratio=0.43, voice_over_low=8.84dB"
53,1193200,1196000,skipped,too short for verse vocal clip (2800ms < 5000ms)
54,1197500,1211800,keep,"vocal energy strong; voiced_ratio=0.52, voice_over_low=10.39dB"
55,1217500,1218200,skipped,too short for verse vocal clip (700ms < 5000ms)
56,1219500,1229000,review,"uncertain vocal/music mix; voiced_ratio=0.34, voice_over_low=7.55dB"
57,1230300,1231000,skipped,too short for verse vocal clip (700ms < 5000ms)
58,1232600,1233700,skipped,too short for verse vocal clip (1100ms < 5000ms)
59,1235700,1241800,skipped,"likely music-only; voiced_ratio=0.18, voice_over_low=7.04dB"
60,1243800,1244500,skipped,too short for verse vocal clip (700ms < 5000ms)
61,1248900,1251000,skipped,too short for verse vocal clip (2100ms < 5000ms)
62,1253000,1256000,skipped,too short for verse vocal clip (3000ms < 5000ms)
63,1257300,1261400,skipped,too short for verse vocal clip (4100ms < 5000ms)
64,1263800,1312800,review,"uncertain vocal/music mix; voiced_ratio=0.46, voice_over_low=5.00dB"
65,1315200,1315900,skipped,too short for verse vocal clip (700ms < 5000ms)
66,1317800,1384500,review,"uncertain vocal/music mix; voiced_ratio=0.39, voice_over_low=4.99dB"
67,1386500,1413700,review,"uncertain vocal/music mix; voiced_ratio=0.46, voice_over_low=5.16dB"
68,1414700,1418100,skipped,too short for verse vocal clip (3400ms < 5000ms)
69,1420700,1421400,skipped,too short for verse vocal clip (700ms < 5000ms)
70,1422400,1445700,review,"uncertain vocal/music mix; voiced_ratio=0.48, voice_over_low=4.28dB"
71,1448100,1478800,review,"uncertain vocal/music mix; voiced_ratio=0.48, voice_over_low=4.12dB"
72,1480800,1489200,review,"uncertain vocal/music mix; voiced_ratio=0.36, voice_over_low=8.29dB"
73,1491600,1527600,review,"uncertain vocal/music mix; voiced_ratio=0.40, voice_over_low=5.14dB"
74,1532400,1560100,keep,"vocal energy strong; voiced_ratio=0.55, voice_over_low=5.78dB"
75,1561400,1562100,skipped,too short for verse vocal clip (700ms < 5000ms)
76,1563700,1594800,review,"uncertain vocal/music mix; voiced_ratio=0.38, voice_over_low=4.95dB"
77,1596800,1597500,skipped,too short for verse vocal clip (700ms < 5000ms)
78,1601900,1625200,keep,"vocal energy strong; voiced_ratio=0.48, voice_over_low=3.83dB"
79,1636600,1637900,skipped,too short for verse vocal clip (1300ms < 5000ms)
80,1639400,1658800,review,"uncertain vocal/music mix; voiced_ratio=0.40, voice_over_low=9.18dB"
81,1664200,1665900,skipped,too short for verse vocal clip (1700ms < 5000ms)
82,1667700,1671200,skipped,too short for verse vocal clip (3500ms < 5000ms)
83,1674900,1680100,review,"uncertain vocal/music mix; voiced_ratio=0.29, voice_over_low=8.09dB"
84,1681100,1692700,skipped,"likely music-only; voiced_ratio=0.20, voice_over_low=9.18dB"
85,1693900,1695200,skipped,too short for verse vocal clip (1300ms < 5000ms)
